headline,date,time,view,like,share,comment,category,tag
สนธิรัตน์ เผยนัดประชุมว่าที่ ส.ส. พลังประชารัฐ 3 เม.ย. นี้ ไม่ติดใจพรรคเล็กได้ที่นั่ง เป็นไปตามกฎหมาย,01.04.2019,,228K,,Loading...,,"Thailand,Politics","สนธิรัตน์ สนธิจิรวงศ์,พรรคพลังประชารัฐ,อนุชา นาคาศัย,ธนกร วังบุญคงชนะ,นฤมล ภิญโญสินวัฒน์"
"คนไทยในนิวซีแลนด์วางพวงหรีดไว้อาลัยบัตรเลือกตั้ง 1,542 ใบที่ไม่ถูก กกต. นำมานับเป็นคะแนน",01.04.2019,,748K,,Loading...,,Thailand,"การเลือกตั้ง,กกต.,New Zealand,บัตรเลือกตั้ง"
ผู้สมัคร ส.ส. ชลบุรี เขต 4 ปชป.-เพื่อไทย-ภูมิใจไทย-อนาคตใหม่ ร้องผู้สมัครพลังประชารัฐ ทำผิดกฎหมาย ขอให้มีเลือกตั้งใหม่,01.04.2019,,810K,,Loading...,,"Thailand,Politics","กกต.,พรรคเพื่อไทย,พรรคประชาธิปัตย์,พรรคอนาคตใหม่,พรรคภูมิใจไทย,พายุ เนื่องจำนงค์,จิรวุฒิ สิงห์โตทอง,สมชาย เนื่องจำนงค์"
นายกฯ ขอให้ฟัง กกต. บ้าง ล่ารายชื่อถอดถอนให้ดูกระบวนการ เตือน “อย่าให้มันวุ่นวายมากกว่านี้เลย”,01.04.2019,,288K,,Loading...,,"Thailand,Politics","ประยุทธ์ จันทร์โอชา,การเลือกตั้ง,กกต.,เลือกตั้ง ส.ส."
มาร์ก ซักเคอร์เบิร์ก เรียกร้องรัฐบาลออกฎหมายควบคุมอินเทอร์เน็ตอย่างจริงจัง ดูแลเนื้อหา ทำให้การเลือกตั้งโปร่งใส และปกป้องข้อมูลผู้ใช้,01.04.2019,,208K,,Loading...,,"Business,Tech","Facebook,Social Media,Mark Zuckerberg,internet"
นายกฯ เมย์เรียกประชุมคณะรัฐมนตรีวันนี้ หลังสภาผู้แทนราษฎรคว่ำร่าง Brexit รอบสี่,02.04.2019,,116K,,Loading...,,World,"UK,Brexit,EU,Theresa May"
ประธานาธิบดีแอลจีเรีย วัย 82 ปี เตรียมลาออกจากตำแหน่งก่อนหมดวาระ 28 เมษายนนี้ หลังครองตำแหน่งนานกว่า 20 ปี,02.04.2019,,62K,,Loading...,,World,Algeria
ปิยบุตรแจง 6 ข้อเท็จจริง กรณีการนำคลิปและภาพไปบิดเบือน,01.04.2019,,733K,,Loading...,,"Thailand,Politics","พรรคอนาคตใหม่,ปิยบุตร แสงกนกกุล"
เกิดเหตุอาคารทรุดตัว แฟลต 18 ถนนดินแดง เบื้องต้นยังไม่มีผู้ได้รับบาดเจ็บ,02.04.2019,,151K,,Loading...,,Thailand,"อุบัติเหตุ,แฟลตดินแดง"
เกณฑ์ทหารวันแรกที่วัดธาตุทองคึกคัก ลุ้นใครได้ใบแดงที่มีแค่ 1 ใบ,01.04.2019,,214K,,Loading...,,Thailand,การเกณฑ์ทหาร
คมนาคมเตรียมพร้อมรับมือสงกรานต์ เพิ่มจุดเสี่ยงเฝ้าระวัง 111 เส้นทาง ตั้งเป้าลดอุบัติเหตุ 5% ผู้โดยสารตกค้างเป็นศูนย์,02.04.2019,,27K,,Loading...,,Thailand,"กระทรวงคมนาคม,เทศกาลสงกรานต์,อาคม เติมพิทยาไพสิฐ"
เทียบตารางแข่งโค้งสุดท้ายของ Liverpool และ Manchester City,02.04.2019,,186K,,Loading...,,Sport,"Liverpool,Manchester City"
ขอกลับไปพักผ่อน ฮัมเพลงซาโยนาระ,02.04.2019,,326K,,Loading...,,"Thailand,Politics",ประยุทธ์ จันทร์โอชา
ONE Championship: A New Era กับการเปิดศักราชใหม่ของวงการ MMA ในประเทศญี่ปุ่น,02.04.2019,,303K,,Loading...,,Sport,"MMA,ONE Championship"
สรรพากรเปิดช่อง SMEs จ่ายเงินภาษีย้อนหลังได้โดยไม่เสียค่าปรับจนถึง 30 มิถุนายนนี้,01.04.2019,,87K,,Loading...,,Business,"SMEs,ภาษี,กรมสรรพากร"
กกต. แจงตัวเลขผู้ใช้สิทธิเพิ่ม ยังไม่รวมเลือกตั้งล่วงหน้า ยืนยันไม่ได้รายงานผลช้า เวลาเท่าเลือกตั้งทุกครั้งที่ผ่านมา,02.04.2019,,78K,,Loading...,,"Thailand,Politics","การเลือกตั้ง,กกต.,เลือกตั้ง ส.ส."
วาทะสะเทือนการเมืองจาก พล.อ. อภิรัชต์ คงสมพงษ์ ผบ.ทบ.,02.04.2019,,"1,358K",,Loading...,,"Thailand,Politics",อภิรัชต์ คงสมพงษ์
รักษาการหัวหน้า ปชป. แจงภาพพบสุดารัตน์ไม่เกี่ยวตั้งรัฐบาล พบกันในงานวันเกิดหนังสือพิมพ์มติชน,02.04.2019,,171K,,Loading...,,"Thailand,Politics","สุดารัตน์ เกยุราพันธุ์,จุรินทร์ ลักษณวิศิษฏ์"
ฟอลโลว์กันหรือยัง? เจ้าชายแฮร์รีกับเมแกน มาร์เคิล เปิดแอ็กเคานต์อินสตาแกรมทางการร่วมกัน @sussexroyal,03.04.2019,,153K,,Loading...,,"World,TV & Entertainment,POP","Prince Harry,Meghan Markle,Duchess of Sussex,Duke of Sussex"
ผอ.สลากฯ ยัน ผลรางวัลที่ 1 งวด 1 เม.ย. 62 โปร่งใส หลังมีคนโยงตัวเลขกับผลเลือกตั้ง,02.04.2019,,113K,,Loading...,,Thailand,สลากกินแบ่งรัฐบาล
"ผู้ว่าฯ เชียงราย-แม่ฮ่องสอนสั่งคุมเข้มแก้ไขปัญหาฝุ่นละออง หลังพบค่าความร้อน Hotspot มากกว่า 1,969 จุด",02.04.2019,,96K,,Loading...,,"Thailand,Environment","เชียงราย,แม่ฮ่องสอน,มลภาวะทางอากาศ,PM2.5"
ผบ.ทบ. ลั่น อย่าซ้ายจัดดัดจริตคิดเปลี่ยนแปลงการปกครอง ขอนักการเมืองยอมรับกติกา ไปสู้ในสภาฯ,02.04.2019,,"1,350K",,Loading...,,"Thailand,Politics","ประชาธิปไตย,กองทัพบก,เผด็จการทหาร,อภิรัชต์ คงสมพงษ์"
ภัยเเล้งมาเยือน 4 จังหวัด ปภ. ประสานแก้ปัญหา จัดรถบรรทุกน้ำแจกจ่าย ขอประชาชนใช้น้ำอย่างประหยัด,02.04.2019,,27K,,Loading...,,Thailand,"ภัยพิบัติ,ภัยแล้ง"
MIT จับมือ NASA พัฒนาปีกเครื่องบินสุดล้ำ ปรับรูปทรงได้ ทำให้บินอย่างมีประสิทธิภาพ,02.04.2019,,440K,,Loading...,,"World,Tech","NASA,MIT"
เปิดงบสื่อโฆษณาดิจิทัล ปี 2561,02.04.2019,,150K,,Loading...,,Business,สมาคมโฆษณาดิจิทัล (ประเทศไทย)
เลขาธิการ กกต. เผยสัปดาห์หน้าชัดเจนเรื่องสูตรคำนวณปาร์ตี้ลิสต์ ขอศึกษา ยืนยันไม่มีธงให้ใบแดงผู้สมัครคนใด,02.04.2019,,190K,,Loading...,,"Thailand,Politics","การเลือกตั้ง,กกต.,เลือกตั้ง ส.ส.,จรุงวิทย์ ภุมมา"
